filename,duration,fps,width,height,path
gacs_advertisements_00_-avONMmQ.mp4,144.1,23.98,1280,720,data\raw_videos\gacs_advertisements_00_-avONMmQ.mp4
gacs_advertisements_00_F4sJLG2z.mp4,2978.32,60,1280,720,data\raw_videos\gacs_advertisements_00_F4sJLG2z.mp4
gacs_advertisements_01_9G5luoju.mp4,285.5,30,1280,720,data\raw_videos\gacs_advertisements_01_9G5luoju.mp4
gacs_advertisements_01_jBnseji3.mp4,125.59,29.97,1280,720,data\raw_videos\gacs_advertisements_01_jBnseji3.mp4
gacs_advertisements_02_VGa1imAp.mp4,112.28,25,1280,720,data\raw_videos\gacs_advertisements_02_VGa1imAp.mp4
gacs_advertisements_02_WDld_tTL.mp4,36.6,25,1280,720,data\raw_videos\gacs_advertisements_02_WDld_tTL.mp4
gacs_animations_00_-HMqv0zl.mp4,540.08,25,1280,720,data\raw_videos\gacs_animations_00_-HMqv0zl.mp4
gacs_animations_00_WIPV1iwz.mp4,200.53,23.98,1280,720,data\raw_videos\gacs_animations_00_WIPV1iwz.mp4
gacs_animations_01_CWnqX41J.mp4,179.6,30,1280,720,data\raw_videos\gacs_animations_01_CWnqX41J.mp4
gacs_animations_01_hJnAHzo4.mp4,120.2,23.98,1280,692,data\raw_videos\gacs_animations_01_hJnAHzo4.mp4
gacs_animations_02_lTxn2Buq.mp4,176.04,24,1280,548,data\raw_videos\gacs_animations_02_lTxn2Buq.mp4
gacs_animations_02_qLGNj-xr.mp4,165.08,24,1280,720,data\raw_videos\gacs_animations_02_qLGNj-xr.mp4
gacs_emotional_shorts_00_44buVmzh.mp4,260.24,25,1280,720,data\raw_videos\gacs_emotional_shorts_00_44buVmzh.mp4
gacs_emotional_shorts_00_WAmw-erI.mp4,1213.88,25,1280,720,data\raw_videos\gacs_emotional_shorts_00_WAmw-erI.mp4
gacs_emotional_shorts_01_Jzt3pQmF.mp4,20.75,24,360,640,data\raw_videos\gacs_emotional_shorts_01_Jzt3pQmF.mp4
gacs_emotional_shorts_01_LIed92r8.mp4,185.16,25,1280,720,data\raw_videos\gacs_emotional_shorts_01_LIed92r8.mp4
gacs_emotional_shorts_02_DZQtVmKM.mp4,1768.32,60,1280,720,data\raw_videos\gacs_emotional_shorts_02_DZQtVmKM.mp4
gacs_emotional_shorts_02_VpkiVRxH.mp4,46.37,30,360,640,data\raw_videos\gacs_emotional_shorts_02_VpkiVRxH.mp4
gacs_movie_trailers_00_mqqft2x_.mp4,158.41,23.98,1280,720,data\raw_videos\gacs_movie_trailers_00_mqqft2x_.mp4
gacs_movie_trailers_00_UDfjsSqC.mp4,69.38,24,1280,720,data\raw_videos\gacs_movie_trailers_00_UDfjsSqC.mp4
gacs_movie_trailers_01_fsQgc9pC.mp4,137.47,23.98,1280,720,data\raw_videos\gacs_movie_trailers_01_fsQgc9pC.mp4
gacs_movie_trailers_01_n9xhJrPX.mp4,184.48,23.98,1280,720,data\raw_videos\gacs_movie_trailers_01_n9xhJrPX.mp4
gacs_movie_trailers_02_nb_fFj_0.mp4,145.44,23.98,1280,720,data\raw_videos\gacs_movie_trailers_02_nb_fFj_0.mp4
gacs_movie_trailers_02_uYPbbksJ.mp4,186.64,23.98,1280,720,data\raw_videos\gacs_movie_trailers_02_uYPbbksJ.mp4
man_vs_baby_trailer.mp4,106.12,25,854,480,data\raw_videos\man_vs_baby_trailer.mp4
ready_or_not_trailer.mp4,139.39,23.98,854,480,data\raw_videos\ready_or_not_trailer.mp4
toy_story_5_trailer.mp4,49.59,23.98,1280,690,data\raw_videos\toy_story_5_trailer.mp4
